organisation,address,name
Future Group,CANTONMENT RD,Abdullah Ahmad Badawi
Home Credit Finance,KEMPAS RD,Umar Abdullah Al-Khatib
Aditya Birla Fashion and...,CANTONMENT RD,Abdullah Ariff
Mphasis,CANTONMENT RD,Abdullah Hamid
Bajaj Allianz Life Insur...,CANTONMENT RD,Munshi Abdullah
Yes Bank,CANTONMENT RD,Abdullah Tarmugi
Flipkart,BENDEMEER RD,Abhi Krish
Lupin,CANTONMENT CL,Alex Abisheganaden
WIPRO CONSUMER CARE & LI...,CHAI CHEE RD,Jacintha Abisheganaden
OPPO,DAKOTA CRES,Paul Abisheganaden
Ernst & Young,EUNOS CRES,Julian Abraham 'Togar'
HDFC LIFE,GLOUCESTER RD,Abu Bakar bin Hashim
PayTM,HAIG RD,Abu Bakar Maidin
Asian Paints,HOLLAND AVE,Abu Bakar bin Pawanchee
Unilever,JLN KUKOH,Sultan Abu Bakar
Nokia,JLN RUMAH TINGGI,Abu Jalal Sarimon
Deloitte,JLN BATU,Ebiet G. Ade
Wipro Infotech,JLN BT HO SWEE,Adi Rahman
Wipro BPS,JOO SENG RD,Adi Yadoni
Shriram Transport Financ...,LOR 7 TOA PAYOH,Adib Jalal
Ashok Leyland,MARSILING DR,Adib Kosnan
Shapoorji Pallonji,NTH BRIDGE RD,Adibah Noor
Axis Securities,PINE CL,Nindityo Adipurnomo
Hyundai Motor,SELEGIE RD,Nissim Nassim Adis
Sun Pharmaceutical Indus...,ST. GEORGE'S RD,Adnan Abu Hassan
Vivo Smartphone,TECK WHYE AVE,Adnan Saidi
Zydus Cadila,TELOK BLANGAH CRES,Aedit Abdullah
ITC,TOH YI DR,James Aeria
Apollo Hospitals,WOODLANDS AVE 8,Affandi
UltraTech Cement,BENDEMEER RD,Afiq Salam
Muthoot Fincorp,GHIM MOH RD,Sumit Agarwal
Mahindra & Mahindra Fina...,BEDOK STH AVE 2,Vandana Aggarwal
NTT DATA,BOON TIONG RD,Leonardo Aguinaldo
Dominos Pizza,CHAI CHEE RD,Agus Kamal
IIFL,HOLLAND DR,Ahmad Abu Bakar
IDFC FIRST Bank,JLN KUKOH,Ahmad Afandi Jamari
Bosch,LOR 7 TOA PAYOH,Ahmad Awang
TVS Motor,BEDOK STH AVE 2,Ahmad Azmi bin Haji Mohamed
Ujjivan Small Finance Ba...,BENDEMEER RD,Ahmad CB
UnitedHealth,BOON TIONG RD,Ahmad Daud
EXL Service,LOR 7 TOA PAYOH,Ahmad Fauzee
Wipro Enterprises Ltd,BEDOK STH AVE 2,Ahmad Fuad Osman
JBM Group,BENDEMEER RD,Ahmad Gaus
eClerx,LOR 7 TOA PAYOH,Ahmad Ibrahim
Aurobindo Pharma,BEDOK STH AVE 2,Ahmad Jaafar
Hero MotoCorp,BEDOK STH AVE 2,Ahmad Jaafar Munasip
NIIT Technologies,BEDOK STH AVE 2,Ahmad Jaaffar Munasip
Muthoot Group,ALJUNIED CRES,Ahmad Jais
Simplex Infrastructures,BEDOK NTH AVE 4,Syed Ahmad Jamal
Cyient,C'WEALTH CRES,Ahmad Khalis bin Abdul Ghani
Oracle,LOR 1 TOA PAYOH,Ahmad Lutfi
Mylan Laboratories,WHAMPOA DR,Ahmad Mattar
Syntel,AH HOOD RD,Ahmad Md. Tahir
Max Life Insurance,ALJUNIED CRES,Ahmad bin Mohamed Ibrahim
Fidelity National Inform...,ANG MO KIO AVE 3,Ahmad Mohd Magad
JP Morgan Chase,BEDOK RESERVOIR RD,Ahmad Nisfu
Tata Teleservices,BEDOK NTH AVE 4,Ahmad Patek
JustDial,BIDADARI PK DR,Ahmad Sabri
Siemens India,BISHAN ST 12,Syed Ahmad Semait
Lava International,BT BATOK WEST AVE 6,Syed Ahmad Shahabudin
PwC,BT PURMEI RD,Ahmad Shukri Mohamed
First Source,C'WEALTH CRES,Ustaz Ahmad Sonhadji Mohamad
Arvind Group,CANBERRA ST,Ahmad Syarif
Dell,CLEMENTI ST 14,Ahmad Wartam
State Bank of India,GANGSA RD,Ahmad Zakii Anwar
Manappuram Finance,HENDERSON CRES,Ai Yu
Motherson Sumi Systems,HOUGANG AVE 1,Aidli Mosbit
Oyo Rooms,JLN RAJAH,Aiman
Godrej & Boyce Manufactu...,JURONG EAST ST 13,Aini Salim
Larsen & Toubro Infotech,LENGKONG TIGA,Aisha Akbar
TATA Steel,PASIR RIS ST 12,Aisha Rosli
Abbott Healthcare,POTONG PASIR AVE 1,Aisyah Aziz
McDonald's,PUNGGOL FIELD,Aisyah Lya
LG Electronics,RIVERVALE WALK,Ajjali
NCC,SERANGOON NTH AVE 1,Muhammad Akbar
Renault-Nissan,SIMEI ST 1,Akhbar Nawab
Fullerton India,SPOTTISWOODE PK RD,Al-Matin Yatim
Gati kwe,TAMPINES ST 11,Al̲akunilā
JSW Steel,TECK WHYE LANE,Syed Hussein Alatas
Suzlon Group,TOWNER RD,Syed Ja'afar Albar
Ford Motor,WHAMPOA DR,Albel Singh
RBS,WOODLANDS ST 13,Augusto Albor
Tata Communications,YISHUN AVE 5,Ronald Alcantra
Shoppers Stop,BIDADARI PK DR,Maulana Abdul Aleem Siddique
Hindustan Coca Cola Beve...,CANBERRA ST,Jessica Alejandro
Sodexo,LOR 2 TOA PAYOH,Alfian
Mindtree,PUNGGOL FIELD,Alfian Sa'at
TAFE - Tractors and Farm...,YISHUN AVE 5,Eric R. Alfred
Omega Healthcare,CANBERRA ST,Syed Ali Ahmad Semait
Royal Enfield,LOR 2 TOA PAYOH,Ali Haji Mohamed
Atos,PUNGGOL FIELD,Sultan Ali Iskandar Shah
Bajaj Auto,YISHUN AVE 5,Ali bin Sanat (Haji)
Subros,LOR 2 TOA PAYOH,Alias Kadir
Bandhan Bank,PUNGGOL FIELD,Alif Abdullah
AU Small Finance Bank,YISHUN AVE 5,Aliff Aziz
Hetero Drugs,PUNGGOL FIELD,Aliman Hassan
Megha Engineering and In...,ALJUNIED CRES,Syed Abdul Rahman Aljunied
Honda,ANG MO KIO AVE 3,Syed Abdullah bin Omar Aljunied
iEnergizer,BEDOK NTH AVE 4,Syed Omar bin Ali Aljunied
JLL,BEDOK RESERVOIR RD,Syed Muhd. Khairudin Aljunied
Thermax,BISHAN ST 12,Sharifah Zahra binte Syed Junied Aljunied
Huawei Technologies,BT BATOK WEST AVE 6,Alwee Alkaff
KPMG,BT PURMEI RD,Amir Muhammad
Equitas Small Finance Ba...,C'WEALTH CRES,Christopher Henry Rothwell Allen
Cgi Group,CANBERRA ST,David Michael Allen
PepsiCo,CLEMENTI ST 14,George Vance Allen
Schneider Electric,DEPOT RD,Nell Allgrove
HCL Infosystems,GANGSA RD,Syed Esa Almenoar
DTDC Express,HENDERSON CRES,Syed Abdulrahman Taha Alsagoff
Titan Company,HOUGANG AVE 1,Syed Ali Redha Alsagoff
Future Retail,JLN RAJAH,Syed Ibrahim bin Omar Alsagoff
SBI Life Insurance Compa...,JLN DUSUN,Syed Mohamed bin Ahmed Alsagoff
Hexaware Technologies,JURONG EAST ST 13,Syed Munir Alsagoff
Reliance Life Insurance,LENGKONG TIGA,Syed Omar bin Mohamed Alsagoff
John Deere,PASIR RIS ST 12,Syed Yusof Alsagoff
CMS IT Services,POTONG PASIR AVE 1,Nunelucio Alvarado
ABB Group,PUNGGOL FIELD,Amir Samsoedin
Fortis Healthcare,RIVERVALE WALK,Amalina Binte Ebrahm Attia
CBRE,SERANGOON NTH AVE 1,Amallathasan
State Street Syntel,SIMEI ST 1,Aman Samat
Ipca Laboratories,SPOTTISWOODE PK RD,Aman Shah
Glenmark Pharmaceuticals,TAMPINES ST 11,Amanah Mustafi
BNY Mellon,TECK WHYE LANE,Mahindanath Shanthideva Amarasuriya
Life Insurance Corporati...,TOWNER RD,Mangalesvary Ambiavagar
Kec International,WOODLANDS ST 13,Velauthar Ambiavagar
SBI Cards & Payment Serv...,BIDADARI PK DR,Haji Ambo Sooloh
VE Commercial Vehicles,CANBERRA ST,J. W. D. Ambrose
Standard Chartered Bank,DEPOT RD,S. T. Amerasinghe
Bel,PUNGGOL FIELD,Chandulal A. Amin
Eureka Forbes,RIVERVALE WALK,Amni Musfirah
Dewan Housing Finance Co...,BIDADARI PK DR,Amorn Pinpimai
Landmark Group,CANBERRA ST,Ampannee Satoh
Bhushan Power & Steel,PUNGGOL FIELD,Amrin Amin
Pfizer,CANBERRA ST,Hobart Baumann Amstutz
Intas Pharmaceuticals,PUNGGOL FIELD,Poklong Anading
Honda Motorcycle & Scoot...,PUNGGOL FIELD,Anak Agung Gde Meregeg
Torrent Pharmaceuticals,AH HOOD RD,Anak Agung Gde Sobrat
Rivigo,ALJUNIED CRES,The Analog Girl
Havells,ANG MO KIO AVE 3,Subhas Anandan
ICICI Lombard General In...,BEDOK NTH AVE 4,Andeasyand
Cholamandalam Investment...,BEDOK RESERVOIR RD,Sir John Anderson
Alkem Laboratories,BISHAN ST 12,Sir John Anderson (Colonial administrator)
KPIT Technologies,BT BATOK CTRL,Bertil Andersson
ACC,BT PURMEI RD,Dr Kozo Ando
Cummins Sales and Servic...,C'WEALTH CRES,
Deutsche Bank AG,CANBERRA ST,Ang Ah Tee
Jindal Steel and Power,CLEMENTI ST 14,Alvin Ang
Indian Oil Corporation,EDGEFIELD PLAINS,Andie Ang
UST Global,GANGSA RD,Andrew Ang
IQVIA,HENDERSON CRES,Ann Ang
Varun Beverages,HOUGANG AVE 1,Belinda Ang Saw Ean
Ecom Express,JLN RAJAH,Benjamin Ang
Indiamart Intermesh,JURONG EAST ST 13,Ang Chee Theng
G4S,LENGKONG TIGA,Ang Chek Meng
Aircel,LOR 1 TOA PAYOH,Ang Cheng Bin
Flextronics Technologies,PASIR RIS ST 12,Ang Cheng Chye
L & T Finance,POTONG PASIR AVE 1,Ang Cheng Guan
Bajaj Electricals,RIVERVALE WALK,Ang Chin Koon
D Mart,SERANGOON NTH AVE 1,Ang Chwee Chai
Dabur,SPOTTISWOODE PK RD,Darrell Ang
Radisson Hotels,TAMPINES ST 11,Ang Hao Sai
Indian Navy,TECK WHYE LANE,Ang Hin Kee
Macleods Pharmaceuticals,TOWNER RD,Ang Hiong Chiok
American Express,WOODLANDS ST 13,Ang Hoon Seng
Apollo Tyres,YISHUN RING RD,Ang How Ghee
Hindalco Industries,BIDADARI PK DR,Irene Ang
Videocon d2h,CANBERRA ST,Janet Ang
Alembic Pharmaceuticals,DEPOT RD,Jill Ang Poh Hwa
RSPL Group,EDGEFIELD PLAINS,Ang Jin Yong
BHEL,RIVERVALE WALK,Angjolie Mei
Delhi Public School,BIDADARI PK DR,Ang Keong Lan
Capita,CANBERRA ST,Ang Kia Yee
MAGMA Fincorp,DEPOT RD,Ang Kim Tee
Maersk Global Service Ce...,EDGEFIELD PLAINS,Ang Kiukok
Patanjali Ayurved,EDGEFIELD PLAINS,Ang Kok Peng
Wells Fargo,ALJUNIED CRES,Ang Kok Sai
DCB Bank,BEDOK NTH AVE 4,Ang Kong Hua
Thomson Reuters,BEDOK RESERVOIR RD,Ang Lai Sheng
Amdocs,JLN BT MERAH,Ang Mong Seng
Team Lease,BISHAN ST 12,Ang Nam Piau
TVS Sundram Fasteners,BT BATOK CTRL,Ang Peng Hwa
Karvy Fintech,BT PURMEI RD,Ang Peng Siong
Big Bazaar,C'WEALTH CRES,Ang Peng Tiam
Pidilite Industries,CANBERRA ST,Sarah Ang
Max Healthcare,CLEMENTI ST 14,Ang Seah Im
Rane TRW Steering System...,GANGSA RD,Ang Shuang
Ceat Tyres,HENDERSON CRES,Ang Song-Ming
Delhivery,HOUGANG AVE 1,Ang Song Nian
Nestle,JLN BT MERAH,Ang Sookoon
Adani Power,JLN RAJAH,Su-Lin Ang
Jet Airways,JLN DUSUN,Sunny Ang
Wockhardt,JURONG EAST ST 13,Ang Swee Aun
Lifestyle,LENGKONG TIGA,Ang Swee Chai
24/7 Customer,LOR 1 TOA PAYOH,Ang Swee Hoon
Vishal Mega Mart,PASIR RIS ST 12,Ang Teck Bee
Dilip Buildcon,POTONG PASIR AVE 1,Terence Ang
café Coffee day,RIVERVALE WALK,"Ang, Thiam Poh"
Voltas,SERANGOON NTH AVE 1,Ang Wei Neng
Edelweiss,SPOTTISWOODE PK RD,Ang Yau Choon
Yamaha Motor,TAMPINES ST 11,Ang Yian San
JMC Projects,TECK WHYE LANE,Ang Yik Han
Blue Star,TOWNER RD,Ang Yoke Mooi
Kotak Mahindara Life Ins...,WHAMPOA DR,Anita Othman
MRF Tyres,WOODLANDS ST 13,Anita Sarawak
Birla Sun Life Insurance,YISHUN RING RD,Anjana Rai Chaudhuri
Exide Industries,ANG MO KIO ST 11,Zafar Anjum
Exide Life Insurance,BIDADARI PK DR,Ann Hussein
PNB MetLife,CANBERRA ST,Annaliza Bakri
AFCONS Infrastructure,DEPOT RD,Anne Samat
Itc Infotech India,EDGEFIELD PLAINS,Anniketyni Madian
RBL Bank,HENDERSON CRES,Archibald E. H. Anson
PVR Cinemas,ANG MO KIO ST 11,Angelito Antonio
Aakash Institute,CANBERRA ST,ANTZ
Blue Dart Express,DEPOT RD,Hedwig Anuar
Biocon,EDGEFIELD PLAINS,Anuar Mohd
Ajanta Pharma,ANG MO KIO ST 11,Anuar Othman
Tata Motors Finance,CANBERRA ST,Anuar Rashid
Bank of America,DEPOT RD,Anuar Zain
Micro Labs,CANBERRA ST,Anurendra Jegadeva
Ola Cabs,ALJUNIED CRES,Anusapati
Tata AIA Life Insurance,ANG MO KIO AVE 4,Ali Ahamed Anwar
Sterling & Wilson,BEDOK NTH AVE 4,Anwar Hadi Ramli
Punj Lloyd,BEDOK RESERVOIR RD,Anwar Ibrahim
Emcure Pharmaceuticals,BIDADARI PK DR,Apichai Piromrak
Udaan,BISHAN ST 12,Nick Aplin
3i Infotech,BT BATOK CTRL,S. Appavoo Kandiar
Welspun Group,BT PURMEI RD,Jimmy Appudurai-Chua
Ambuja Cements,CANBERRA ST,Aqmal N.
Force Motors,CLEMENTI ST 12,Jerusalino V. Araos
Randstad,DEPOT RD,V. T. Arasu
Mankind Pharma,EDGEFIELD PLAINS,Aravinth Kumarasamy
BigBasket,GANGSA RD,Araya Rasdjarmrearnsook
Shahi Exports,HENDERSON CRES,H. R. Arbenz
Tata Capital Financial S...,HOUGANG AVE 1,Agnes Arellano
Mahindra Holidays & Reso...,JLN RAJAH,Arif Rafhan
JK Tyres,JLN BT MERAH,Ariffin Abdullah
I Process Services,JURONG EAST ST 13,"Arifin, B S"
Karvy Data Management Se...,LENGKONG TIGA,Chef Arifin
Indiabulls,LOR 1 TOA PAYOH,Pricha Arjunka
ACT Fibernet,PASIR RIS ST 12,Chef Arm
Sobha,POTONG PASIR AVE 1,Arnont Nongyao
Amara Raja Group,RIVERVALE WALK,Percival Frank Aroozoo
Computer Sciences Corpor...,SERANGOON NTH AVE 1,Simon Joaquim Aroozoo
Raymond,SIMEI ST 1,Wesley Leon Aroozoo
Cholamandalam MS General...,SPOTTISWOODE PK RD,Mandakini Arora
Power Mech Projects,TAMPINES ST 11,Michael Arro
GSK Pharmaceuticals,TECK WHYE LANE,Art Fazil
Vertex Customer Solution...,TOWNER RD,Kannan Arumugam
Conduent,WOODLANDS ST 13,Arumugam Pancharatnam
GlobalLogic,YISHUN RING RD,Rani Arumugam
Emami,BIDADARI PK DR,Count Isohi Asahi
Nayara Energy,DEPOT RD,Dennis Ascalon
IDBI Bank,EDGEFIELD PLAINS,Ashley Isham
Indus Towers,JLN BT MERAH,Asmah Atan
Brakes India,BIDADARI PK DR,Asmah Laili
Aon Hewitt,DEPOT RD,Asnida Daud
Essar Steel,EDGEFIELD PLAINS,Justiniano Asuncion
Virtusa Consulting Servi...,EDGEFIELD PLAINS,Martha Atienza
Quess,EDGEFIELD PLAINS,Atikah Hakim
Iksula,ALJUNIED CRES,Atin Amat
Reliance Digital,ANG MO KIO AVE 4,Atiqah Halim
Tata AIG General Insuran...,BEDOK RESERVOIR RD,H. C. Atkin-Berry
GVK Emergency Management...,BEDOK NTH AVE 4,Raman K. Attri
Hindustan Aeronautical,BIDADARI PK DR,Alex Au
ICICI Securities,BISHAN ST 12,Sharon Au
Zensar Technologies,BT PURMEI RD,Au Sow-Yee
CMS Infosystems,BT BATOK CTRL,Au Yeung Hing Yee
Bharti AXA Life Insuranc...,C'WEALTH CRES,Au Yue Pak
Berger Paints,CANBERRA ST,U Aung Khin
Gabriel India,CLEMENTI ST 12,Aung Myint
Parle Products,GANGSA RD,Aung San Suu Kyi
Dainik Bhaskar Group Of ...,HENDERSON CRES,Avadai Dhanam Lakshimi
PolicyBazaar,HOUGANG AVE 1,P. N. Avadhani
Britannia,JLN BT MERAH,Avtar Singh
HDFC Ergo General Insura...,JLN DUSUN,Aw Boon Haw
Godrej Group,JLN RAJAH,Aw Boon Par
Oberoi Group of Hotels,JURONG EAST ST 13,Aw Cheng Chye
Lucas-TVS,LENGKONG TIGA,Eileen Aw
Delphi TVS,LOR 1 TOA PAYOH,Aw Eng Kwang
Dalmia Bharat Cement,PASIR RIS ST 12,Eve Aw
ADP Solutions,POTONG PASIR AVE 1,Dato Aw It Haw
Aricent,PUNGGOL FIELD,Aw Kim Chen
Sigma Electric Manufactu...,RIVERVALE WALK,Aw Seow Pooi
The Himalaya Drug Compan...,SERANGOON NTH AVE 1,Aw Tee Hong
The Jaypee Group,SIMEI ST 1,Zinkie Aw
KFC,SPOTTISWOODE PK RD,Awang Bakar
Deloitte Support Service...,TAMPINES ST 11,Awang bin Sitai
Crompton Greaves,TECK WHYE LANE,Awang Damit Ahmad
Panasonic,TOWNER RD,Awi Rafael
Whirlpool,WOODLANDS ST 13,Saya Aye
BT Group,YISHUN RING RD,Ayilisha Manthira
Cadila Pharmaceuticals,BIDADARI PK DR,Jack Ayyappan
Gannon Dunkerley,CANBERRA ST,Azean Irdawaty
Dharampal Satyapal Group,DEPOT RD,Azhagiya Pandiyan
Intex Technologies,HENDERSON CRES,Azhar Ibrahim
Shree Cement,LOR 1 TOA PAYOH,Azim Tjan
SRF,PUNGGOL FIELD,Aziz Jaafar
Toyota Kirloskar Motor,BIDADARI PK DR,Abdol Azez bin Satta @ Aziz Satar
Sony,CANBERRA ST,Aziza Ali
Endurance Technologies,DEPOT RD,Azizah A. Malik
Taj Hotels Resorts and P...,PUNGGOL FIELD,Azizah Zakaria
Narayana Health,PUNGGOL FIELD,Azizan Paiman
Uflex,PUNGGOL FIELD,Azlan Mohamed Said
Coromandel International,ALJUNIED CRES,Azlina Aziz
Kalpataru Power Transmis...,ANG MO KIO AVE 4,Azman Abdullah
Metro,BEDOK NTH RD,Azrin Abdullah
Barclays Shared Services,BEDOK RESERVOIR RD,Azroy Sultan
TVS Logistics Services,BISHAN ST 12,U Ba Kyi
Access Healthcare,BIDADARI PK DR,U Ba Nyan
Hinduja Group,BT PURMEI RD,Moulavi Babu Sahib
GeBBS Healthcare Solutio...,BT BATOK WEST AVE 6,Baet Yeok Kuan
Fiserv,C'WEALTH CRES,Grace Baey
Adecco Group,CANBERRA ST,Baey Lian Peck
Parle Agro,CLEMENTI ST 12,Baey Yam Keng
Yazaki,GANGSA RD,Bagyi Aung Soe
WABCO,HOUGANG AVE 1,Baharuddin Ariff
Consolidated Contractors...,JLN BT MERAH,Bahri Rajib
Aforeserve.com,JLN RAJAH,Bai Yan
HDFC Sales,JURONG EAST ST 13,Henry Wolfe Baines
Robert Bosch Engineering...,LENGKONG TIGA,Terra Bajraghosa
Cogent E Services,LOR 1 TOA PAYOH,Maurice Baker
AXA Business Services,PASIR RIS ST 12,M. Bala Subramanion
Volkswagen,POTONG PASIR AVE 1,Lavanya Balachandran
International Tractors,PUNGGOL FIELD,N. Balachandran
Angel Broking,RIVERVALE WALK,G. D. Balakrishnan
Samsung Mobile,SERANGOON NTH AVE 1,Balakrishnan Ramasamy
Sify Technologies,SIMEI ST 1,Vivian Balakrishnan
Info Edge,SPOTTISWOODE PK RD,Victor Balanon
TVS Credit Services,TAMPINES ST 11,Yu-Mei Balasingamchow
Future Generali India In...,TECK WHYE LANE,Joseph Balestier
Johnson Controls,TOWNER RD,Robert P. Balhetchet
Varroc Group,WOODLANDS ST 13,Jacob Ballas
Reckitt Benckiser,YISHUN RING RD,Balraj Gopal
iQor Global Services,BIDADARI PK DR,Christina Balsara
Ocwen Financial Solution...,C'WEALTH CRES,
Bharat Petroleum,CLEMENTI ST 12,Nadiah Bamadhaj
Sopra Steria,CANBERRA ST,Nazeem Ba
Swiggy,EDGEFIELD PLAINS,Nanda Bandara
United Phosphorus,JLN BT MERAH,Gautam Banerjee
Exl India,RIVERVALE WALK,Bang Sy Truc
Telenor,BIDADARI PK DR,Bang Wenfu
Datamatics Global Servic...,CANBERRA ST,Bani Bin Buang
V-mart,EDGEFIELD PLAINS,Bani Farook
jCB,CANBERRA ST,Bani Haykal
Kansai Nerolac Paints,EDGEFIELD PLAINS,Bani Hidir
ValueLabs,EDGEFIELD PLAINS,S. T. Bani
Mahindra Rural Housing F...,ALJUNIED CRES,Ivan Baptist
Badve Engineering,ANG MO KIO AVE 4,Aysha Baqir
JK Cement,BEDOK RESERVOIR RD,Gopal Baratham
Trident Group,BEDOK NTH RD,Mike Barclay
InterGlobe Technologies,BISHAN ST 12,E. W. Barker
Saint-Gobain,BT PURMEI RD,Glory Barnabas
Sterlite Technologies,BT BATOK WEST AVE 6,Timothy P. Barnard
Tata Technologies,C'WEALTH CRES,Gabriel Barredo
SGS,CANBERRA WALK,Andres Barrioquinto
Utkarsh Small Finance Ba...,CLEMENTI ST 11,Ronald Hubert Barth
Kent RO Systems,DEPOT RD,Ghillie Başan
Lodha group,GANGSA RD,William Lawrence Soma Basapa
SRL Diagnostics,HOUGANG AVE 1,Basari Mat Yasit
Tikona Infinet,JLN RAJAH,Basir Siswo
GMR Group,JLN BT MERAH,Basiran Hamzah
Tata Sky,JURONG EAST ST 13,Bala Baskaran
Mother Dairy Fruit & Veg...,LENGKONG TIGA,Greg Krikor Basmadjian
Johnson & Johnson,LOR 1 TOA PAYOH,John Bastin
Microland,MCNAIR RD,Radha Basu
Myntra,PASIR RIS ST 12,Basuki Abdullah
Akums Drugs & Pharmaceut...,POTONG PASIR AVE 1,Basuki Sastro
Inox Leisure,PUNGGOL FIELD,Ian Batey
Kotak Securities,RIVERVALE WALK,Natahar Bava
DHL Express,SERANGOON NTH AVE 1,Alan Bay
BYJU'S,SIMEI ST 1,Edward Becheras
Procter & Gamble,SPOTTISWOODE PK RD,Gloria Beck
Akzo Nobel India,TAMPINES ST 11,Ernesto Bedmar
Bharat Forge,TECK WHYE LANE,Maurice Bedot
GAMMON INDIA,WOODLANDS ST 13,August Behn
Adani Wilmar,YISHUN RING RD,Edward Belcher
Walmart,BIDADARI PK DR,Janice Bellace
Relaxo Footwear,CLEMENTI ST 11,Norma Belleza
Pantaloons,CANBERRA WALK,Arthur Beng Kian Lam
Bharat Financial Inclusi...,DEPOT RD,Mervin Beng Kian San
General Electric Interna...,MCNAIR RD,Aziz Benhawan
Max Fashion,PASIR RIS ST 12,Douglas Benjamin
Marriott International,BIDADARI PK DR,Frank J. Benjamin
Verizon,CANBERRA WALK,Geoffrey Benjamin
Dr Lal PathLabs,MCNAIR RD,Sarah Huang Benjamin
USHA International,CANBERRA WALK,Berinderjeet Kaur
Novartis Healthcare,MCNAIR RD,Cindy Berlandier
NTPC,CANBERRA WALK,Francis James Bernard
Motherson Automotive Tec...,ALJUNIED CRES,Father Jean-Marie Beurel
Apotex Research,ANG MO KIO AVE 4,Bey Hua Heng
Sapient Corporation,BEDOK RESERVOIR RD,Bey Soo Khiang
ITC Hotels,BEDOK NTH RD,Jan Daniel Beynon
AECOM,BIDADARI PK DR,Bhajan Singh
Reliance Trends,BISHAN ST 12,M. K. Bhasi
Cromā,BT BATOK WEST AVE 6,Bhaskar Krishna Pillay
Petrofac,BT PURMEI RD,Malini Bhaskar
JW Marriott,C'WEALTH CRES,Meenakshy Bhaskar
Reliance General Insuran...,CANBERRA WALK,Santha Bhaskar
AIS Distribution Service...,CLEMENTI ST 11,Manu Bhaskaran
Bayer,GANGSA RD,Umej Bhatia
HCL Technologies BPO Ser...,HOUGANG AVE 1,Rupchand Bhojwani
Fujitsu,JLN BT MERAH,George H. Bickley
Narayana Educational Soc...,JURONG EAST ST 13,R.A.J Bidwell
Persistent Systems,LENGKONG TIGA,Bilveer Singh
ISS Facility Services,LOR 1 TOA PAYOH,Jeho Bitancor
Steel Strips Wheels,MCNAIR RD,John Bittleston
Columbia Asia,PASIR RIS ST 11,bittymacbeth
Magna Infotech,POTONG PASIR AVE 1,Sir Robert Black
Synechron,PUNGGOL FIELD,Kevin Blackburn
Aarti Industries,RIVERVALE WALK,Sophia Blackmore
Cybage,SERANGOON NTH AVE 1,A. E. G. Blades
Ivrcl Infrastructures & ...,SIMEI ST 1,Myrna Blake
Tata Chemicals,SPOTTISWOODE PK RD,R. N. Bland
DISH TV,TAMPINES ST 11,Dennis Bloodworth
